Capacity,Optimization,Best Response,Replicator Dynamics,Fictitious Play,MCTS,Allocation Algorithm
3761,0.0,171867.59153113447,146613.053846706,165074.11549489133,156804.88852476986,158041.08546307174
3767,0.0,122812.67149312218,126691.0864284353,140810.66002426675,136013.3369658382,147440.07998058005
3769,0.0,153916.8458916142,144047.84498747982,150383.52279269617,167712.8519987972,162980.1435789903
3779,0.0,86597.45641771232,90735.92725908518,79703.33109733771,79337.92898307854,76831.47536357248
3793,0.0,173216.0486378047,188075.68407701858,186352.6844768755,185244.31867714378,195553.08782534447
3797,0.0,113467.90334762103,115876.37738165769,111380.5990035368,124517.88356317699,114590.19039691675
3803,0.0,138939.15294430268,127992.05366129825,125368.03011367326,130278.51751031076,134176.5445519745
3821,0.0,119698.37548457757,124466.47398764471,120420.53688526871,115224.70766353703,125637.46057809277
3823,0.0,117000.72577800842,130491.15581730034,112901.13152889462,125372.09822706424,128860.2096690704
3833,0.0,96523.09323038155,98204.64911773158,101896.23444936158,99137.64194964478,110130.97344367538
3847,0.0,157138.75104929073,164685.84996712272,167866.4745093412,157603.9306824782,170815.47076134608
3851,0.0,150013.6010991934,148548.29615697524,121014.25753400542,144882.37204581,136584.18259071404
3853,0.0,79898.49549055232,84047.44495501499,88891.6783859359,86162.43814763226,81534.91704108799
3863,0.0,120892.07230872735,133008.87313854994,133467.532928071,132713.72914425354,119928.74782546113
3877,0.0,139707.28630690507,155298.32822779936,138169.25419994045,146269.41077145335,142422.59282193487
3881,0.0,114220.51924865364,111476.96507619387,98815.05965578696,112484.90291624218,106215.0556682034
3889,0.0,132744.80666611384,134343.8139555984,138716.74495629288,130415.92575585563,128487.18194901309
3907,184916.74208898787,181249.20467741287,185194.33609620156,198763.51598329959,186128.08448296657,187701.96856832353
3911,0.0,99291.47468453483,113294.47652400304,89618.16130375845,103781.13800223714,105722.56706077974
3917,0.0,132657.6918991556,119885.17954802317,131279.43151858525,129014.49649623089,124397.1152974159
3919,0.0,120040.09879065581,109590.38195783984,117984.2717014709,113319.50035374983,123214.81310797292
3923,0.0,136034.8549136491,128794.334499966,126578.88147372146,133574.37387675158,129700.2403946289
3929,0.0,144635.04112018825,138991.3848936651,143577.0583111423,138885.49089941417,157239.9771319087
3931,0.0,121886.77079484428,114236.06383165506,114028.937681548,114473.57423085049,117971.34973485957
3943,0.0,136082.28759152142,136796.22940528876,134805.13307839877,134437.7078448786,138928.48319521194
3947,0.0,144601.73223655857,139537.93996550541,142321.02482529718,145095.0607087311,144265.67972151612
3967,100315.53006921905,97822.36607000796,105030.72206527626,95833.81907593811,104366.18189127665,99326.10224547397
3989,0.0,113533.082610379,119600.95615190004,120540.60521722538,129031.37681339975,110603.39412700411
4001,0.0,149915.07349750557,163600.4901518468,142957.1856066564,143356.13898113024,154607.74641089333
4003,0.0,78399.9949260375,83649.10081207866,80159.91716042896,78816.4009695706,81363.58676770933
4007,0.0,120675.3795772145,117618.42152798726,116120.40489839172,123485.2200385501,121489.97558624593
4013,0.0,114036.97814876343,122395.50393347054,114779.18988461449,119914.98149875592,112587.24132958146
4019,0.0,116839.07619984227,146725.59468967834,144259.69338697434,138638.36424852881,130881.18137945305
4021,0.0,132781.16110160752,137521.24634283013,133072.6651645559,140786.2686273317,127248.85209053557
4027,0.0,125905.76765085594,126990.49573429576,37462.98928220674,127078.32098197102,133391.414389954
4049,0.0,188610.64394593512,191095.18427371047,173547.2147997359,177711.2927175788,181356.82217427233
4051,0.0,148131.27199194607,149722.85663103158,137505.65634768057,139206.49097043576,143224.68577926746
4057,0.0,166052.66159579877,174760.2171922083,140522.07456805036,164584.55899360747,151033.0815850081
4073,0.0,99206.0694186061,95892.21026911504,102836.25540979338,103803.1342453349,100612.7667561092
4079,0.0,160520.87920337822,155210.14653729074,146464.92480853313,157744.00048248362,160199.79467601978
4091,0.0,169628.0310887693,177638.78552351292,185694.1574857205,184733.86362927358,174818.25599244674
